"nature","section","section2","section3","comite"
"PR","26","","","\N"
"MCF","26","","","Rang A locaux :

Mostafa ADIMY (président)
Olivier GANDRILLON
Elisabeth MIRONESCU

Rang A extérieurs :

Luis ALMEIDA
Michel PIERRE
Bernard YCART

Rang B locaux :

Sorin CIUPERCA
Pascal NOBLE
Laurent PUJO-MENJOUET

Rang B extérieurs :

Christine BRUN
Vincent CALVEZ
Antoine PERASSO"
"MCF","26","","","Membres locaux:
Laure Elie
Ying Jiao
Mathilde Mougeot
Huyên Pham
Peter Tankov (président)

Membres extérieurs:
Stéphane Crepey
Caroline Hillairet
Ahmed Kebaier
Damien Lamberton
Vathana Ly Vath
"
"MCF","26","","","Comité MCF 302 (Metz)

Membre extérieurs
Benoit Grebert (PR, Nantes)
Mariana Haragus (PR, Besançon)
Emmanuel Trelat (PR, Paris 6)
Philippe Gravejat (MCF Hadamard, X)
Yannick Privat (CR, CNRS, Paris 6)
Eric Soccorsi (MCF, CPT, Marseille)

Membres internes:

Fatiha Alabau-Boussouira (PR, Presidente Comite, Metz)
Mourad Choulli (PR, Metz)
David Dos Santos Ferreira (PR, Nancy)
Alexandre Munnier (MCF, Nancy)
Violeta Petkova (MCF, 25, Metz)
Julie Valein (MCF, Nancy)
"
"MCF","25","","","Nicole Bardy-Panse (Présidente)
Olivier Bruneau, 
Sébastien Gauthier,
Alain Genestier, 
Hélène Gispert, 
Jean-Francois Grosjean,
Philippe Nuss, 
Irène Passeron,
Nicolas Prudhon,
Fréderic Robert,
Norbert Schappacher,
Rossana Tazzioli."
"MCF","26","5","","\N"
"PR","27","","","\N"
"MCF","27","","","\N"
"MCF","27","","","\N"
"PR","25","","","Membres locaux :

Michel Granger PR
J.J. Loeb PR
F. Mangolte PR
G. Powell DR
Tan Lei PR

Membres extérieurs :

I. Itenberg PR
M. Merle PR
A. Sarti PR 
V. Colin PR
A. Zeghib DR"
"MCF","27","","","\N"
"MCF","27","","","Nicolas Broutin
Hubert Comon-Lundh
Sophie Laplante
Marc Lelarge
Antoine Mine
Stéphane Mallat
Éric Moulines
Jean Ponce
Pascal Raymond
Nicolas Usunier
Damien Vergnaud
Jean Vuillemin"
"PR","27","","","\N"
"PR","27","","","\N"
"MCF","27","","","Membres locaux : 
M. François LAROUSSINIE (PR)
M. Arnaud DURAND (PR)
M. Thomas EHRHARD (DR)
M. Pierre FRAIGNIAUD (DR)
M. Paul-André MELLIÈS (CR)
M. Olivier SERRE (CR)
Mme. Mihaela SIGHIREANU (MC)
Mme. Christine TASSON (MC)

Membres extérieurs : 
M. Hubert COMON (PR ENS Cachan)
M. Daniel HIRSCHKOFF (MC ENS Lyon)
Mme. Anca MUSCHOLL (PR Bordeaux 1)
Mme. Christine PAULIN (PR Paris 11)
Mme. Carine PIVOTEAU (MC Paris 6)
M. François POTTIER (DR INRIA)
M. Pierre-Alain REYNIER (MC Aix-Marseille)
M. Colin RIVA (MC ENS Lyon)
"
"MCF","27","","","Membres internes:
Gaetan Richard MCF 27
Youssef Chahir MCF 27
Antoine Doucet MCF 27
Abdel-Illah Mouaddib PR 27
Abderrahim Elmoataz PR 27
Fre&#769;de&#769;ric Jurie PR 27

Membres externes:
Karl Tombre PR 27 UNIVERSITE DE LORRAINE (Président)
Patrick Bouthemy DR 27 INRIA
Laurent Heutte PR 61 UNIVERSITE DE ROUEN
Nikolaos Paragios PR 27 ECOLE CENTRALE DE PARIS
Herve&#769; Jegou MCF 27 INRIA
Se&#769;verine Dubuisson MCF 27 UNIVERSITE PIERRE ET MARIE CURIE
Marin Ferecatu MCF 27 CNAM
Sylvain Meignier  MCF 27 UNIVERSITE DU MANS"
"MCF","72","25","","Colette Anné 
Frédéric Brechenmacher 
Gilles Carron (Président)
Grégory Chambon 
Pascal Crozet  
Dominique Flament 
Etienne Ghys
Guillaume Jouve
Vincent Jullien 
Laurent Piriou 
Pierre Tessier 
Stéphane Tirard 
"
"PR","26","","","Membres externes :
Pierre Calka
Loïc Chaumont
Nathanaël Enriquez
Véronique Maume-Deschamps
Anne Philippe

Membres locaux :
Anne Bertrand
Alain Miranville
Julien Michel
Pol Vanhaecke
"
"PR","25","","","Benjamin Enriquez
Caroline Gruson
Simone Gutt
Jean Ludwig
Hervé Oyono-Oyono
Sylvie Paycha
Michael Pevzner
Michael Puschnigg
Georges Skandalis
Jean-Louis Tu
"
"PR","26","70","","\N"
"MCF","27","","","AUGOT Daniel, Directeur de Recherches INRIA, INRIA Saclay-Île-de-France
BAJARD Jean-Claude, Professeur des Universités, Université Pierre-et-Marie-Curie (président du comité)
CASTAGNOS Guilhem, Maître de Conférences, Institut Mathématique de Bordeaux, Université Bordeaux 1
ELBAZ-VINCENT Philippe, Professeur des Universités, Université Joseph-Fourier, Grenoble
FLEURY Emmanuel, Maître de Conférences, LaBRI, Université Bordeaux 1
FOURNEAU Jean-Michel, Professeur des Universités, UVSQ
GOUBIN Louis, Professeur des Universités, UVSQ
PATARIN Jacques, Professeur des Universités, UVSQ
PILARD Laurence, Maître de Conférences, UVSQ
QUISQUATER Michaël, Maître de Conférences, UVSQ
SOHIER Devan, Maître de Conférences, UVSQ
VERGNAUD Damien, Maître de Conférences, ENS Paris"
"PR","26","","","\N"
"MCF","25","","","\N"
"PR","27","","","Internes :
Bidoit Nicole
Gouyou-Beauchamps Dominique (président)
Martin Jean-Claude
Paulin Christine
Reynaud Chantal
Wery Martine

Externes :
Barth Dominique
Fribourg Laurent
Le Gall	Pascale
Mazure Bertrand
Parissis Ioannis
Zeitouni Karine





"
"MCF","26","","","membres exterieurs:

D. Blanke
B. Chauvin
K. Coulibaly-Pasquier
D. Coupier
R. Marty
P. Vallois

membres locaux:

P. Cénac-Guesdon
O. Couture
C. Goga-Cardot
S. Fang
S. Herrmann
L. Moser-Jauslin"
"PR","25","27","","Jean-Paul Allouche
Didier Caucal
Jean-Pierre Chabriat
Paul Gastin
Frédéric Mesnard
Patrice Pongérard
Dominique Tournès (président)
Boban Velickovic
"
"MCF","26","","","Internes: 
           
Brigitte Grugeon (Présidente)
Eric Mounier
Etienne Sandier
Nathalie Sayac
             
Externes :

Maha Abboud-Blanchard (Paris 7)
Sylvie Coppé (Lyon 2)
Alain Kuzniak (Paris 7)
Eric Roditi (Paris 5)"
"MCF","26","","","Thomas Duquesne 
Gilles Pagès
Lorenzo Zambotti (président)

Vincent Lemaire
Damien Simon
Cristina Toninelli

Thierry Bodineau
Sandrine Péché
Nizar Touzi

Manon Défosseux
Mathieu Merle
Fabien Panloup"
"MCF","25","","","Rang A locaux
A. JOURANI
L. MOSER-JAUSLIN
L. PARIS (président)

Rang A extérieurs
T. BARBOT
K. KURDYKA
G. LEVITT

Rang B locaux
K. KOZLOWSKI
P. MARDESIC
E. WAGNER

Rang B extérieurs
D. FAENZI
Y. GENZMER
E. OPSHTEIN 

"
"PR","27","","","Christophe	Fouqueré
Christophe	Cérin
Adeline	Nazarenko
Sylvie	Després
Frédérique	Bassino
Isabelle	Tellier
Chantal	Reynaud
Anne	Vilnat
Béatrice	Daille
Mohand	Boughanem
Philippe	Blache
"
"PR","26","","","\N"
"MCF","27","","","\N"
"MCF","27","","","\N"
"MCF","25","","","\N"
"MCF","25","26","","Membres locaux:

 A- Christoph Sorger
 A- Frédéric Hérau
 A- Laurent Guillopé
 
 B- Laurent Thomann
 B- Frédéric Bernicot
 B- Samuel Tapie

Membres extérieurs

 A- Clotilde Fermanian Kammerer (Créteil)
 A- Emmanuel Humbert (Tours)
 A- Jérôme le Rousseau (Orléans)

 B- Vittoria Pierfelice (Orléans)
 B- Stéphane Nonnenmacher (CEA Saclay)
 B- Rachid Regbaoui (Brest)"
"MCF","26","","","P. Frey (président)
A. Chambolle
F. Lagoutière
L. Grigori
M. de Buhan
M. Campos
E. Audusse, 
S.-M. Kaber"
"PR","26","","","Membres locaux

Jean-Marc Bouclet (président)
Patrick Cattiaux
Mihai Maris
Jérôme Monnier
Claudia Negulescu (vice-présidente)
Jean-Pierre Raymond

Membres extérieurs

Eric Bonnetier (Grenoble)
Jean-François Coulombel (Nantes)
Monique Dauge (Rennes)
Anne De Bouard (école polytechnique)
Valérie Perrier (Grenoble)
Edouard Oudet (Grenoble)"
"PR","27","","","\N"
"MCF","27","","","\N"
"MCF","27","","","\N"
"MCF","27","","","\N"
"MCF","25","","","Anton Alekseev
Guillaume Bossard
Krzysztof Gawedzki (Président)
Victor Gayral
Kenji Iohara
Johannes Kellendonk
Mathieu Lewin
Elisabeth Mironescu
Valentin Ovsienko
Serge Parmentier
Paolo Rossi
Thomas Strobl
Fabien Vignes-Tourneret
Valentin Zagrebnov"
